type,warp_execution_efficiency,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_sync,stall_pipe_busy,shared_efficiency,achieved_occupancy,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,dram_utilization,time
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,260.49
cublas,1,0.94,1,0.06,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,982.62
cudnn,1,0.82,0.75,0.09,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.26,0.1,0.16,0.22,0.77,0,0.48,360.58
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,260.75
cublas,1,0.94,1,0.07,0.11,0.5,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,982.63
cudnn,1,0.82,0.75,0.08,0.31,0.11,0.14,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,353.41
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,259.73
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.59,976.57
cudnn,1,0.82,0.75,0.09,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,355.34
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,260.99
cublas,1,0.94,1,0.06,0.11,0.5,0.09,0.02,0.42,0.39,0.29,0.31,0.16,0.1,0.12,0.18,0.7,0,0.65,983.56
cudnn,1,0.82,0.75,0.07,0.31,0.1,0.13,0.03,0.62,0.36,0.2,0.63,0.26,0.1,0.16,0.22,0.77,0,0.4,410.47
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,266.97
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.59,977.41
cudnn,1,0.82,0.75,0.1,0.3,0.12,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,351.69
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,261.33
cublas,1,0.94,1,0.06,0.11,0.5,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,979.93
cudnn,1,0.82,0.75,0.09,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,354.73
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,261.75
cublas,1,0.94,1,0.06,0.11,0.5,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,981.44
cudnn,1,0.82,0.75,0.1,0.3,0.12,0.13,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,353.77
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,269.84
cublas,1,0.94,1,0.06,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,979.49
cudnn,1,0.82,0.75,0.07,0.31,0.12,0.14,0.03,0.62,0.37,0.2,0.62,0.26,0.1,0.16,0.22,0.77,0,0.49,356.17
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.7,0,0.4,261.35
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,986.18
cudnn,1,0.82,0.75,0.07,0.31,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,355.64
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,262.32
cublas,1,0.94,1,0.06,0.11,0.5,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,978.5
cudnn,1,0.82,0.75,0.07,0.31,0.12,0.14,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,352.23
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,259.53
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,976.91
cudnn,1,0.82,0.75,0.09,0.3,0.12,0.13,0.03,0.62,0.37,0.2,0.62,0.26,0.1,0.16,0.22,0.77,0,0.49,359.17
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,269.4
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.36,0.16,0.1,0.12,0.18,0.73,0,0.59,982.17
cudnn,1,0.82,0.75,0.07,0.31,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,354.15
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,262.94
